,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6228511836014542,0.587006991636008,0.0023199268616735935,0.0027981833554804325,0.00047825652291066945,10
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6401270499416426,0.48266678880900143,0.0025557796470820904,0.0027463319711387157,0.00019055235316045582,10
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6661627982176986,0.4394111489877105,0.0028067685198038816,0.0031968802213668823,0.00039011178887449205,10
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6473115787786596,0.4541978372260928,0.002267401199787855,0.003796749049797654,0.0015293479664251208,15
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.6214354511569528,0.38566758340845503,0.0026904887054115534,0.004370386246591806,0.001679897541180253,15
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6503089724802503,0.3944814226590097,0.002537001157179475,0.00283588538877666,0.0002988841733895242,10
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.6837628250028572,0.5440465741790831,0.0023311905097216368,0.002656138502061367,0.0003249479050282389,10
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,18,0.6838235294117647,0.8122270742358079,0.6740948776988422,0.6155149171128869,0.0024195914156734943,0.003453976707533002,0.0010343854082748294,10
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,19,0.6838235294117647,0.8122270742358079,0.6558792716732212,0.484734445437789,0.0027120362501591444,0.0029397758189588785,0.00022773956879973412,10
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,20,0.6838235294117647,0.8122270742358079,0.6274453401565552,0.5874266968108713,0.0029068258590996265,0.003712538629770279,0.0008057127706706524,10
20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,21,0.6838235294117647,0.8122270742358079,0.6367868021422741,0.6218409654373924,0.006464829668402672,0.009507779031991959,0.003042949130758643,15
21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,22,0.3161764705882353,0.0,0.7278491165123734,0.507531942302982,0.003702715737745166,0.003966554533690214,0.0002638387377373874,15
22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,23,0.3161764705882353,0.0,0.933329233936235,0.5591944364830852,0.00583865400403738,0.0064139640890061855,0.000575310317799449,10
23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,24,0.3161764705882353,0.0,1.1338527389601165,0.5471039459109306,0.004218214191496372,0.006073061376810074,0.001854846952483058,10
24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,25,0.3161764705882353,0.0,1.087435385760139,0.5140249425545335,0.004686387255787849,0.0067409612238407135,0.0020545742008835077,10
25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,26,0.34068627450980393,0.09427609427609428,0.7193386239164016,0.7508839681744576,0.005569424480199814,0.009720872156322002,0.004151447676122189,5
26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,27,0.6838235294117647,0.8122270742358079,0.6166094775293388,0.473397084698081,0.003347191959619522,0.005560860503464937,0.002213668543845415,10
27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,28,0.6838235294117647,0.8122270742358079,0.8654823250630322,0.28441024692729117,0.0036790380254387856,0.004603322129696608,0.0009242842206731439,10
28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,29,0.6838235294117647,0.8122270742358079,1.045061983971619,0.8583791991695762,0.007454064209014177,0.010011683218181133,0.002557619009166956,5
29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,30,0.6838235294117647,0.8122270742358079,1.1166584942416817,0.4059392371214926,0.0029853361193090677,0.004008878953754902,0.0010235428344458342,15
30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,31,0.6838235294117647,0.8122270742358079,1.0349178465411943,0.664903923124075,0.005543313454836607,0.006801127456128597,0.001257814117707312,5
31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,32,0.6838235294117647,0.8122270742358079,0.8196006870152903,0.6315272921929136,0.003822802333161235,0.006102956831455231,0.002280154498293996,10
32,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,33,0.6838235294117647,0.8122270742358079,0.6691877719234017,0.8224321585148573,0.0024700150825083256,0.0038258261047303677,0.001355811022222042,5
33,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,34,0.6838235294117647,0.8122270742358079,0.6233160583411946,0.6052805121056736,0.003054944798350334,0.004303368274122477,0.0012484235921874642,10
34,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,35,0.6838235294117647,0.8122270742358079,0.6552649292291379,0.43818666189908984,0.0024199860636144876,0.0027384727727621794,0.0003184867964591831,10
35,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,36,0.5931372549019608,0.6782945736434108,0.6873286085970262,0.5043715179587404,0.0023275921121239662,0.0031503404024988413,0.0008227482903748751,15
36,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,37,0.6862745098039216,0.8123167155425219,0.6561836413308686,0.43183855414390565,0.0026312577538192272,0.004940464626997709,0.002309206873178482,20
37,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,38,0.6838235294117647,0.8122270742358079,0.6116792799211016,0.46146354200318457,0.002416200004518032,0.002837668638676405,0.0004214685468468815,10
38,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,39,0.6838235294117647,0.8122270742358079,0.7497680292410009,0.2735003244054193,0.0022409423254430294,0.004126107320189476,0.0018851649947464466,30
39,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,40,0.6838235294117647,0.8122270742358079,0.8658558229605356,0.3760112138154606,0.002329593989998102,0.002499703783541918,0.00017010982264764607,15
40,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,41,0.6838235294117647,0.8122270742358079,0.840571340830887,0.39176141736097636,0.002294167410582304,0.0029137039091438055,0.0006195363821461797,10
41,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,42,0.6838235294117647,0.8122270742358079,0.7377140165544024,0.3475828905745099,0.0024478845298290253,0.0029622199945151806,0.0005143354064784944,15
42,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,43,0.6838235294117647,0.8122270742358079,0.6754100527249131,0.27936529167054686,0.0022815545089542866,0.002596484497189522,0.0003149299882352352,40
43,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,44,0.6838235294117647,0.8122270742358079,0.6156852350515478,0.4287241998780519,0.002298960695043206,0.0026992056518793106,0.0004002448986284435,25
44,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,45,0.6838235294117647,0.8122270742358079,0.6178396858421027,0.3134729163954034,0.0024045270401984453,0.0026233706157654524,0.00021884360467083752,20
45,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,46,0.6740196078431373,0.7670753064798599,0.6462488969167074,0.4152179026696831,0.002512724371626973,0.002671276917681098,0.0001585525315022096,25
46,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,47,0.7083333333333334,0.8183206106870229,0.6031349675328124,0.2695209310972132,0.002312889089807868,0.0028780046850442886,0.0005651155370287597,30
47,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,48,0.6862745098039216,0.8134110787172012,0.5966851232098598,0.23599725168508787,0.002585388720035553,0.0031188707798719406,0.0005334820598363876,30
48,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,49,0.6936274509803921,0.8164464023494861,0.5838513841816023,0.5003965175710618,0.0022878204472362995,0.0030413621570914984,0.0007535418262705207,5
49,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,50,0.7083333333333334,0.8215892053973014,0.5617235577573964,0.3642419386887923,0.0027660264167934656,0.0030718438792973757,0.00030581740429624915,25
50,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,51,0.7254901960784313,0.8271604938271605,0.553640272103104,0.4360191075690091,0.002474114764481783,0.002850910183042288,0.0003767954185605049,25
51,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,52,0.7254901960784313,0.8271604938271605,0.5417389074961344,0.41239266668853813,0.00271373288705945,0.0032761157490313053,0.0005623827455565333,20
52,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,53,0.7475490196078431,0.8227194492254734,0.5500960379254585,0.3980518663379674,0.0023795324377715588,0.0028907759115099907,0.0005112434737384319,15
53,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,54,0.7622549019607843,0.8318890814558059,0.524417898234199,0.2351878241461236,0.0029604057781398296,0.003527432680130005,0.0005670269601978362,20
54,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,55,0.7647058823529411,0.8378378378378378,0.5055908157544977,0.37280750639426213,0.002628171117976308,0.0029557349625974894,0.0003275637864135206,15
55,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,56,0.7647058823529411,0.8461538461538461,0.5115754914050009,0.3536292382438357,0.002492464380338788,0.0027834854554384947,0.000291021162411198,15
56,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,57,0.7352941176470589,0.83125,0.550367564255116,0.28951702067861335,0.002451268257573247,0.0025484920479357243,9.722388494992629e-05,10
57,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,58,0.7058823529411765,0.8198198198198198,0.69566630265292,0.16334655864920933,0.002750726882368326,0.0031194686889648438,0.0003687418648041785,20
58,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,59,0.7034313725490197,0.8207407407407408,0.886482842303082,0.31134136993593226,0.0024368688464164734,0.002749416045844555,0.00031254717032425106,15
59,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,60,0.7034313725490197,0.819672131147541,0.7642291933298111,0.5018357951659709,0.0024222899228334427,0.0034691812470555305,0.0010468914406374097,5
60,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,61,0.7377450980392157,0.834108527131783,0.5264034748953932,0.4306521837133914,0.002676897682249546,0.003438797779381275,0.0007618999807164073,10
61,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,62,0.7867647058823529,0.853781512605042,0.4682006830093907,0.26494284530635925,0.0023508525919169188,0.002555621787905693,0.0002047692541964352,10
62,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,63,0.7549019607843137,0.8127340823970037,0.4972579929174161,0.32915220345021223,0.002327871276065707,0.002489903476089239,0.00016203212726395577,10
63,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,64,0.7524509803921569,0.8031189083820662,0.5018735048817653,0.3270357776200399,0.0028910746332257986,0.0035368469543755054,0.0006457723793573678,15
64,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,65,0.7450980392156863,0.7928286852589641,0.4960881997557247,0.35226960987007866,0.0035764072090387344,0.003957466222345829,0.00038105889689177275,15
65,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,66,0.8137254901960784,0.8698630136986302,0.41535258643767414,0.17309278064174577,0.002710167784243822,0.004236207343637943,0.0015260395593941212,25
66,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,67,0.7475490196078431,0.8408037094281299,0.5603364552645123,0.24862332271877677,0.0026226011104881763,0.002998854499310255,0.0003762533306144178,15
67,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,68,0.7107843137254902,0.8249258160237388,0.8647566705248227,0.352352191292448,0.0023379081394523382,0.0027035758830606937,0.000365667772712186,10
68,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,69,0.7107843137254902,0.8254437869822485,0.8795218534913718,0.47889895024709406,0.00300432275980711,0.003976983483880758,0.0009726607240736485,5
69,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,70,0.7132352941176471,0.826151560178306,0.7770615250748747,0.23041319380281494,0.0023801657371222973,0.0027157862205058336,0.0003356205706950277,10
70,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,71,0.7426470588235294,0.8396946564885496,0.5641640832684204,0.3781835696543567,0.002411553403362632,0.0030997490976005793,0.0006881956360302866,10
71,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,72,0.803921568627451,0.8662207357859532,0.3993687965706283,0.4484115294646472,0.00242516677826643,0.003287812927737832,0.0008626460330560803,5
72,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,73,0.7769607843137255,0.8183632734530938,0.46084140591761646,0.31403522493783387,0.004080016631633043,0.004566941410303116,0.00048692466225475073,15
73,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,74,0.7377450980392157,0.7688984881209503,0.5275053338092917,0.2949838610715233,0.0023943434935063124,0.00301968096755445,0.0006253375322557986,10
74,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,75,0.7941176470588235,0.8306451612903226,0.44617566583203333,0.2258900039868119,0.002443370409309864,0.0038584235589951277,0.0014150530332699418,15
75,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,76,0.8186274509803921,0.8732876712328768,0.37397272702233464,0.1390271087657311,0.0026478625368326902,0.004627458285540342,0.001979595748707652,20
76,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,77,0.7549019607843137,0.8461538461538461,0.6655144539625183,0.10698200486513088,0.0024606005754321814,0.0031463417690247297,0.0006857411353848875,20
77,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,78,0.7230392156862745,0.8305847076461769,0.9414499571921268,0.44434979239013045,0.0026264279149472713,0.0036321256775408983,0.0010056978790089488,5
78,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,79,0.7377450980392157,0.837138508371385,0.8368236386746752,0.41510983150219544,0.0037948531098663807,0.005394953768700361,0.0016001005424186587,5
79,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,80,0.8137254901960784,0.8694158075601375,0.42042477699179276,0.6468246387783438,0.005622194614261389,0.00912303477525711,0.003500840160995722,5
80,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,81,0.6936274509803921,0.7216035634743875,0.6093642474973903,0.43202605066554883,0.004047524183988571,0.005258341319859028,0.0012108172522857785,5
81,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,82,0.5392156862745098,0.4946236559139785,0.8521472011126724,0.3115350341490869,0.003454726655036211,0.0048902309499681,0.0014355042949318886,10
82,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,83,0.6102941176470589,0.6034912718204489,0.7281203451109868,0.2503336272468525,0.002999678486958146,0.0050086104311048985,0.0020089319441467524,10
83,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,84,0.8259803921568627,0.8662900188323918,0.41106724739074707,0.16581954506358929,0.0024714753963053226,0.005823246203362942,0.003351770807057619,15
84,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,85,0.7745098039215687,0.8553459119496856,0.4997208221066816,0.11259151772329849,0.0024085596669465303,0.004236783366650343,0.0018282236997038126,20
85,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,86,0.7107843137254902,0.8254437869822485,0.848959336349485,0.22271282988866528,0.002796732820570469,0.003247882006689906,0.00045114930253475904,10
86,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,87,0.696078431372549,0.8181818181818182,1.0612097924310422,0.3003264861314424,0.0022729290649294853,0.0029712498653680086,0.0006983209168538451,5
87,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,88,0.7058823529411765,0.8219584569732937,0.8743131280164508,0.5029568596610001,0.0033586290664970875,0.006275620777159929,0.002916991710662842,5
88,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,89,0.803921568627451,0.8701298701298701,0.4862067819226022,0.632969172272299,0.0028014571871608496,0.004863633308559656,0.0020621761213988066,5
89,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,90,0.8382352941176471,0.8764044943820225,0.38133545146853315,0.23032462000846862,0.0024231006391346455,0.002731283660978079,0.0003081830218434334,5
90,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,91,0.7426470588235294,0.7741935483870968,0.5774647073418486,0.3167573399841785,0.0034942247439175844,0.004290602635592222,0.0007963778334669769,10
91,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,92,0.6985294117647058,0.7235955056179775,0.6692879762427479,0.25807498022913933,0.0030004032887518406,0.004197395872324705,0.0011969925835728645,10
92,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,93,0.7794117647058824,0.8132780082987552,0.49670136004101995,0.3302785209069649,0.002388227265328169,0.0040529221296310425,0.0016646949807181954,5
93,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,94,0.8553921568627451,0.8987993138936535,0.3448924282748325,0.08050027347635484,0.0022246968001127243,0.0069860294461250305,0.004761332646012306,30
94,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,95,0.7205882352941176,0.8298507462686567,0.8456797476620505,0.156523621108176,0.00284727499820292,0.003779050661250949,0.000931775604840368,15
95,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,96,0.6911764705882353,0.8157894736842105,1.2819612399291467,0.3013344214453051,0.002571047516539693,0.0036586811766028404,0.0010876336600631475,5
96,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,97,0.696078431372549,0.8181818181818182,1.0617044411289196,0.6495515882503241,0.005051665473729372,0.00955875962972641,0.004507094155997038,5
97,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,98,0.7450980392156863,0.8419452887537994,0.6564427780206589,0.3841212329144279,0.002285044640302658,0.0034316626843065023,0.0011466179275885224,5
98,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,99,0.8700980392156863,0.9061946902654867,0.31762631661167334,0.5006991665810346,0.0032804878428578377,0.00689809350296855,0.003617605660110712,5
99,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,100,0.821078431372549,0.8554455445544554,0.409484607331893,0.1865345702506602,0.00247615366242826,0.002898138714954257,0.00042198513983748853,10
100,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,101,0.75,0.7801724137931034,0.5189665567641165,0.16429739041874805,0.002445423975586891,0.0038251017685979605,0.0013796777930110693,10
101,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,102,0.7132352941176471,0.7370786516853932,0.6024271395860934,0.3406565148383379,0.002299530664458871,0.002617573132738471,0.0003180424973834306,5
102,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,103,0.7696078431372549,0.8041666666666667,0.4927294146196515,0.3000926461070776,0.0026202253066003323,0.004378467798233032,0.0017582423752173781,10
103,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,104,0.8578431372549019,0.8941605839416058,0.3395945749738637,0.24355166585495072,0.0023157126270234585,0.004101266618818045,0.0017855538753792644,10
104,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,105,0.821078431372549,0.8801313628899836,0.4097058534183923,0.2830962318616609,0.003857951145619154,0.00472941342741251,0.0008714621653780341,10
105,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,106,0.7647058823529411,0.8523076923076923,0.6048306229104307,0.19929406518737477,0.0027476053219288588,0.0033793612383306026,0.000631755858194083,10
